trimestre;target;2019;2020;2021;2022;2023;2024;2025;Total
1;0;78,68;74,67;79,39;77,15;77,27;75,75;76,01;76,97
1;1;21,32;25,33;20,61;22,85;22,73;24,25;23,99;23,03
2;0;79,07;58,15;79,37;78,41;76,66;75,75;76,14;73,97
2;1;20,93;41,85;20,63;21,59;23,34;24,25;23,86;26,03
3;0;79,03;54,27;78,4;77,24;76,36;74,66;75,09;72,4
3;1;20,97;45,73;21,6;22,76;23,64;25,34;24,91;27,6
4;0;78,39;77,79;77,57;77,37;75,15;75,12;75,05;76,62
4;1;21,61;22,21;22,43;22,63;24,85;24,88;24,95;23,38
Total;;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
