region_natural;target;2019;2020;2021;2022;2023;2024;2025;Total
Costa;0;83.08;65.3;81.45;80.14;79.28;77.91;78.1;77.47
Costa;1;16.92;34.7;18.55;19.86;20.72;22.09;21.9;22.53
Lima Metropolitana;0;74.07;55.97;72.28;73.67;73.02;73.4;74.04;70.29
Lima Metropolitana;1;25.93;44.03;27.72;26.33;26.98;26.6;25.96;29.71
Selva;0;79.03;65.98;80.45;79.75;78.46;78.05;78.64;76.92
Selva;1;20.97;34.02;19.55;20.25;21.54;21.95;21.36;23.08
Sierra;0;77.1;66.37;77.71;75.56;74.0;72.39;72.34;73.45
Sierra;1;22.9;33.63;22.29;24.44;26.0;27.61;27.66;26.55
Total;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
